selected_text,sentiment
It tells me I'm not a member of the private beta  and I'm not going to just start pretending to assassinate people,neutral
thx to,positive
Why the hell did I leave Kilkenny!?,negative
love,positive
Happy Grey's day everyone! Oh I miss Grey's!!,neutral
slow.,negative
aww im sorry,negative
Very nice.,positive
misses,negative
best,positive
good,positive
http://snipurl.com/hbp3g  Canalway Cavalcade over in 'little venice' near Warwick Avenue - on today too,neutral
/drool. I still need to 100% the first one,neutral
Yuuum,positive
Was pleased with Star Trek.,positive
is not sleeping because he has paperwork to do.,neutral
problem,negative
Hope you have a better weekend then.,positive
congrats,positive
We don't have either of those here.,neutral
l be,positive
Press 'Ctrl' on bottom right. The underscore for E71 is there.  KY,neutral
They don't let the queer boys donate blood.,negative
its just he songs are so catchy,positive
amp; it gets the job do,positive
wishes  would admit she has a new lovah,neutral
home now and added a few more Grice's to my list,neutral
my body isnt itching anymore,positive
is watching wolverine at last.,neutral
happy,positive
"It's good they're realistic, but I still don't like thinking about it!!!",neutral
it was great,positive
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral
Come See Me Live On Stickam,neutral
I know... seems that the whole fabric of our earth will now unravel - lol - I guess people have never seen bambi,neutral
"uploading photos.   (on: Facebook, &amp; Friendster... Myspace lat",neutral
MISS,negative
"Sasha's helped too, of course",neutral
Is there going to be any more TAI TV? Ah I hope so,neutral
now relaxed and well rested,positive
"Thinking about Con Law, fighting a headache, &amp; Paying bills..",neutral
So slpy 2day  zzzz,neutral
No fun,negative
FINALLY DONE WITH MY PROJECT !  now its 3:12 am  haha goodnights ! &lt,positive
y forgiving,positive
Indeed I did get your song however am unable to listen.,neutral
"O: aw, frank  i like that movie, it's cool. i don't fully understand, but i think that's cool (:",neutral
"Ok, sending me messages asking to set my blog live won't work (linked to my developing website)! Take a tip from  and be patient!",neutral
"Hey, thanks for the follow, wow this is exciting a new tweet.",positive
"Cool music collection,",positive
is needing to make a new video,neutral
how about a new article on finding your YouTube channel stats in your Google Analytics account? Can't find it,neutral
Respect,positive
cold,negative
great,positive
I don't like,negative
I AM SLEEEEEPPYYYYYY!!!!!!!!,negative
wiped.,negative
horrific,negative
Congrats!,positive
delicious,positive
is back from a weekend get away,neutral
accidents,negative
**** lame..,negative
should have started working on this lecture MUCH earlier  using tag clouds from google news to explain basics of content analysis...,neutral
nope,neutral
It's because we're right,neutral
fault,negative
":o Wow only just found out new xbox is called xbox720 , how did i not no im a geek ...",neutral
i told diamond to follow you. and why u aitn share the starburst,neutral
well - that blows.  Sorry to cut it short. It wont work for me. I didnt get to say bye..so goodnight guys - thx for watching!  Love u guys,neutral
no one calls me anymore,negative
interesting.,positive
"Pigs catching Swine Flu and Avian Flu, risking the development of Flying Pig Flu? Awesomely funny",neutral
The portuguese national library could use it also. Right now they seem to be in a ca. 1995 web.,neutral
_0robertpatt Why do they do that?!,neutral
listening to a new Stolen Sheep record,neutral
**** it!,negative
"They had a site, then a blog, now they have the worst zoning/concept of the year - Heaven.fr, tell meh it's a fake",negative
Off to church now...,neutral
May the fourth be with you,neutral
that is sickening.,negative
great!,positive
great job with a great character,positive
": Geez, a cool man like him be the villains. Too bad",neutral
YEAY!. haha. thank you,positive
You can find more info on getonu2.com We hope to launch the project this week. Then we'll really need some help to release it!,neutral
"y lol, look like the load isnt so bad.",positive
good,positive
good,positive
i agree,positive
lame,negative
slower,negative
Good am all..,positive
Gudluck,positive
These stupid **** people!,negative
great,positive
food...food...FOOD!,neutral
Thanks,positive
tierd,negative
Can not afford the DR this year. I just can't pull it off this time.,neutral
"I'm having elevated error rates... StreamKeys not found, and then connection problems. Server migration isn't easy, huh  ?",neutral
I miss,negative
"ly, I'm not allowed to cross the borde",negative
will be doing all the chores just for her mama,neutral
"well, the requirements are quite high as well",neutral
headache,negative
Awwwwwww holly,neutral
it's awesome..,positive
"pleasure,",positive
"yay, you get to ride on the tow truck. How cool is that?",neutral
yeah i did  i remember it na....... i did watch it before,neutral
good,positive
"ease of use, better camera, syncs w/iTunes, smaller (I looked at Storm), more eye-appealing &amp; not clunky. -just a fe",neutral
"Well, hopefully!",positive
o repent!,negative
miss,negative
t; WE,negative
wow.,neutral
I will try. But I don't care what my mum says,neutral
Please accept our apologies for the inconvenience!,negative
"she was wonderful, did not get to meet her though",neutral
rarely enough,negative
turn on your closed caption ... Then you can read and watch animal planet at the same tiime.,neutral
thanks!! Yes!! A lot!,positive
"You too, Rus!",neutral
"sounds very good,",positive
testing.... Hey! I gotta add you as someone to follow,neutral
"I've lost count of the number I've rung today already    Were going to Wales, but I'm due in court on monday",neutral
good,positive
For me everything ok except install crashed at the end and now Safari crashes at every cmd+Q,neutral
nice.,positive
happy,positive
e Fine,positive
you can explore the site 2 and find cool stuff,positive
"Happy Mother's Day, amma!  I made u cake, remember? U loved it!",positive
I had a pretty solid brunch,positive
good,positive
Welcome back!,neutral
Lucky you,positive
of couuuurse fika  i'll pray thes best for you then.,neutral
Shes my only last one,negative
Not a so Healthy,negative
sucks,negative
They should add Dunkin Donuts to their menu too.,neutral
"Is up, coffee in hand with laminate floor to lay then Footy to watch and play, living the dream",neutral
No 1 evr brngs me a starbux!,neutral
woke up feeling worse.,negative
luv 2,positive
"i need to see ...now! someone buy me a plane ticket, please?",neutral
@ ginniejean there's a lot of mojo all over the place...  yes.,neutral
THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
off to the family party,neutral
upset,negative
Of course I couldn't get back to sleep after cause thinking of Joe,negative
sad th,negative
You are right.  If you ordered a static IP it should have been set up.  I apologize if it was not,neutral
sick,negative
talented,positive
I know.     #h,neutral
WOW Panic at the disco en Abbey Road,neutral
support you,positive
love,positive
What's wrong with me?,negative
Making an iMovie of college,neutral
too tired,negative
wonderful,positive
All the food in my house has sugar ants in it,neutral
hot weather gutted i aint with you now chillaxing  but we got tomoz,neutral
awww  well I am here...just in case...I am not like THE PERFECT FUNNY FRIEND but I`m here hehe,neutral
my inbox is still empty,negative
good to know,positive
fun.,positive
ion,negative
oh about you lol sorry my minds always on you,neutral
. *sadness*,negative
please please please please let my match be cancelled today. PLEASE,positive
Sad,negative
hope.,positive
smeared,negative
"City Dippin iz u fun, so much eye candy out here...I remember y I miss  LOL",positive
I'm SAD SAD SAD!!!,negative
"Can you dig it, sucka?  Booker T.  Former WWE Wrestler",neutral
It's fun,positive
I WON,positive
seems so appropriate,positive
I love you WAZ!,positive
MORNING EVERY1! Giveaway at http://tinyurl.com/dhc4hg  Mod Kid Emma pattern &amp;$25 GiftCert to HipFabric!! GO check it,neutral
awful.,negative
voyed on MTV Movie Awards  Mostly on TWILIGHT and SLUMDOG   http://is.gd/wBt6,neutral
"Talented,",positive
SB 239K.  Flop A Q 9.  4 players check. Turn 9. I check call 200 bet. River brick. I check call with trip 9's with K kick. He shows A9.,neutral
y sadfaced,negative
It takes nearly 2 days to figure out what causes the mic problems at #euruko: Do not hold the mic at the bottom!,neutral
haha i am aware of how one contracts a UTI.  and i have training for work at 8:45 tomorrow morning so i have to go to bed early,neutral
Good Morning Twitter,positive
Is at a photoshoot.,neutral
I have to work tonight  But I get my paycheck!,neutral
Jars was gonna be my answer,neutral
"rap battling at second sat, now at the moviesss  haha &quot;i swim in a lake of ****&quot;- Matthew M. ( Ghosts of Girlfrie",neutral
i can't believe my little brother is married...,neutral
Time to wind down and relax a little.  I can only change the world a little through Twitter each evening.  The rest will be up to others.,neutral
know that none of you are.,negative
"no, sir, they did not! i was amazed when i woke up this morning.",neutral
"http://twitpic.com/4jerc view of Atlas Mountains, Morocco across the Straits of Gibraltar, I took the other day from Europa Point, Gib",neutral
bad.,negative
thanks!,positive
definately,positive
bored,negative
good,positive
awwww i cried...makes me cry  i love joey!,neutral
NOOOOOOOOOOO!!!!!!!!!,negative
Clever,positive
hurt so badly??,negative
poor,negative
Just dropped my sistah off @ lax.    #fb,neutral
phone was acting crazy today so i missed all my tweeties' updates  but i fixed it,neutral
_double as if there are any other kind  http://myloc.me/Fkl,neutral
Today is gonna be a looooong one again.,negative
s haha,negative
hurts,negative
lol I really wanna go there!! Imma check the vid out rite now,neutral
with 14mph winds!!,neutral
Wow- you are sharing some of my long list.,neutral
maaaaan last night was a funny night! sad aswell tho,neutral
970 miles makes that kind of difficult.,negative
.i am there to have fun.,positive
What are u going to do today my girl?,neutral
I see,neutral
best!,positive
i so hate this feelin!,negative
no i mean 2moz. I'm workin' 7-1 in a bakers then 6-4 later in a pub,neutral
trying to get a sale in my job...,neutral
good,positive
hey you!,neutral
is TATTEDDDDD!!!!!!!!!!!!!,neutral
Thank You!!,positive
"_Girl Girl, those are bangin' shoes!!!  Work it!",neutral
&quot;That page doesn't exis,negative
another week starts,neutral
soz i neva saw this message till now...if u add then delete me i cant see any messages uve left on my page,neutral
great,positive
misse,negative
kill,negative
Don't know yet  Lemme know if you come up with something though.,neutral
First Day for research at Edmonton General,neutral
"Yes, I'm originally from Argentina. And very 'mystic' about that  ...ï¿½ bientï¿½t de te lire Quincy!",neutral
Jacqueline Wilson day on CBBC,neutral
troubles,negative
workin.. still lol i wanted to go to the spring game,neutral
hurt,negative
just joined Twitter...     Hiya world,neutral
i love those boys. i missed the chat yesterday  it was the firts &amp; only one i'll miss though! &lt;333 Nick Jonas,neutral
have fun without me pasty  &lt,positive
i wish,positive
pretty bummed that it had to rain last nite! oh well  still had fun! Goldfish is highly overrated!,neutral
burnt  sorry,negative
Mourning,negative
"just installed Windows 7 RC, so far no mushroom cloud yet.",neutral
mozert requiem tonight,neutral
"Downloading TF2, a mere 6.3G ... 3% nearly instantly now down to about 500KB",neutral
**** you is all i have to say,negative
lovely wedding,positive
Happy Mother's Day!!,positive
hubby is snoring!  but I still love him,neutral
that's such a long time from now,neutral
Finally it's Friday! Things are going to be so different starting next week...my house will be empty!,neutral
Have you been going to the Trop for the last 5 years?  No more games for you!,neutral
better,positive
&quot;leave the pieces&quot; - the wreckers,neutral
umm..nope not anymoree,neutral
Just got it a few hours ago! So not yet!,neutral
Hate this song  ? http://blip.fm/~5jg6f,neutral
Building Websites,neutral
gd,positive
"i'll visit ny 'til september, no diggnation for me",neutral
Awww my lovies! Yes I love it all.,positive
hangover today,neutral
I am now Vice President of Social and Cultural Affairs at Southwestern College,neutral
w hope uve hada good day,positive
aaaaaw i want to live in the USA,neutral
glad,positive
But gl,positive
It's still up the duff boo,neutral
Bad,negative
.i'm sorry,negative
depressing.,negative
TV time  see yall later! xoxo,neutral
yupp t's better than people being rude to her,neutral
.awesome,positive
kick me,negative
"just spent the day with Bridget and a small thing that got wind and farted a lot - oh yeah, her baby! Now slightly broody!",neutral
"Good god, no.",negative
fun,positive
low low low low low low low low low.............................,neutral
Lookin forward to,positive
getting back from smackdown/ecw show,neutral
"no not yet I ate a couple ;) I love Reeces but they are hard to get in NZ, I stock up bigtime in the States",neutral
That doesn't sound fun,negative
love you ::hugs:but i'm not seeing anything...wondering if i'm doing something wrong),neutral
"was smile smile smile,",positive
hurts.,negative
You always catch me away from my computer.  ?,neutral
How's the head this morning?,neutral
It's beautiful outside.,positive
Wat a nice day it was 2day!me and rachel decided to walk to work and walk back lol..was so warm inside tho,positive
"Good Evening Terri! Have missed you lately, hope life is being good to you. Have a wonderful evening !",neutral
"If you guys would be interested in watching me get tattooed tomorrow, let me know!",neutral
wtf,negative
New toys.,neutral
Hydro drive abandoned after three miles,neutral
its soo sweet!,positive
Getting serious withdrawal symptoms,negative
happy,positive
Just sittin here waitin for my coffee to be full grown on farm town before going to bed,neutral
"The first thing she said means &quot;Your new album is really good&quot; and the second thing, &quot;Don't it's broken&qu",neutral
just ain't right!!,negative
Happy Mothers Day to all the mommy's out there!,positive
here I am!,neutral
got burnt up,negative
Happy Friday!,positive
i hate my life big time its sooo poop gode i ould cry,neutral
Thanks darling girl,positive
Pretty sure I'm sat on the wrong train going the wrong way... Bah!,negative
good mo,positive
arrgghhhggguuuiiissshhhh no idea,negative
We have a problem,negative
amp; u didnt write me,negative
This is a joke surely?,neutral
"recovering from a hard day of homeschooling my dd, chemistry did NOT go well...",neutral
Where did you get a copy? I wanna watch that also.,neutral
I cant to sleep an,negative
Aww,positive
tell me about it,neutral
we spent lots of money for nothing. that's boring,negative
hmmm how bout my boi an me jammin sum john stephens for ya?,neutral
Hey  Mia!! Go to bed!,neutral
"here btw, this is not a bot",neutral
had the lovliest night last night but was ruined by doctors inability to warn me of side effects. back again for more tests.,neutral
"Oh, I see what you mean. That is true if they are used improperly, which we know they are.",neutral
love,positive
I'm glad,positive
welcome,positive
ing&quot; are soooo,negative
June gloom seems to have arrived early,neutral
Be my Yoko Ono and follow me wherever I may go !,neutral
oh  il probs do wt i do every yaer watch the first one then watch the last couple of weeks lol,neutral
Working on our baseball fundraiser  Get 10% percent off Platium or Diamond wedding package if you let us know you saw us on Twitter!,neutral
Thanks,positive
FML,negative
shows how twitaddicted you can get,neutral
Almost lost my phone.,neutral
Friday tubes at work are slow..,negative
Bryan hasn't replied about wingnuts,neutral
happy mothers day.,positive
my car is possessed and won't stop honking at me,negative
that'll do it too,neutral
Happy its the weekend...LOVE has knocked me down ya'll!!!,neutral
great.,positive
just finished  Emergency - by Neil Strauss - another great read Neil - congrats   miss you by the way,neutral
lucky I was out of bkk,positive
It was on my CNN subscription on Google Reader. I couldn't help but repost it,neutral
happy,positive
"I haven't been replying to people because seriously, I haven't refreshed twitter for a while.  Sorry.   Thanks.",neutral
What killed me was the 150 lb dummy that you can't drag.,negative
nooobody would watch it w/me,negative
joy!!,positive
well sore,negative
writing,neutral
"just woke up, hopefully going to see the Xmen film today?",neutral
That's no good. I'm sorry,negative
Good morning,positive
i blame you all!  got it??? good :p she better be in good condition 2! &lt;33 nig,neutral
= motivation,positive
"tease,",negative
the  website may not happen in any form,negative
well sure hope they can do that...,neutral
..hope u feel better!,positive
Don't worry,positive
awesome.,positive
"Happy Mothersday btw! Look at the bright side, you can chill all day today",positive
thanks,positive
Hearing a surprising news about my bestfriend...where are you sis ? You have to tell me the whole story,neutral
My moms calling hospice 4 great gpa  its only a matter of time only God knows.,neutral
I am finally on a roll... now time to stop.   Is it weird when you love what you do?,neutral
fun,positive
on love,positive
"To make a long day short--I did nothing. =D well, I had some friends over they just left (3:55am) We have been drinking since 9.  Smashed",neutral
Which is awesome.,positive
Why can't you? Are you rooting for Ali in the Twitter war?,neutral
nice day,positive
horseback riding,neutral
Grey's 'Sweet Surrender'  http://tinyurl.com/d5mjyj,neutral
just got home from the last day of school.  graduation tomorrow.,neutral
... Yes.  That's what I said.,neutral
I don't feel good.  .My throat hurts!!!!,negative
the,positive
I hope it's something relatively minor and easy to heal. I can't stand it when the furbabies get sick.,neutral
like,positive
haha that's because you also look amazing in it! have fun!,positive
getting ready for work,neutral
Awww that is sweet,positive
sorry :|,negative
disappointed,negative
aww,positive
had a great time tonight..**** was crazy,positive
Oh no! Hope you find your voice soon,neutral
love,positive
"Soo embarassed I didn't see the tweets I've been getting from kind followers.    I'll do better, I promise!!",neutral
&lt;3 to my favorite blogging sit,positive
back from dinner w. my family. i'm not meeting christine anymore  sunny weather tomorrow and a day out &amp; about. i want red bul,neutral
Just got back.,neutral
One Sunday night at Helsinki. We hadn't drink anything... xD yeah RIGHT!,neutral
This is by far my #1 character flaw. Gotta session at 11 and I don't want to emerge from my covers.,neutral
man i **** up,negative
"Finally in my bed, &amp; I must say, I had quite an evening. I'm ready to tackle this work week &amp; see what next weekend has in store",neutral
Jane is really sad because she probably won't get perfect on tonight's quiz without the missing article.,negative
wishes she would call him ...   *hc*,neutral
you are the sweetest.  love you cuz!,positive
legit. Legit cruise.,neutral
- tis painful to watch her so upset,negative
damit..,negative
struggling,negative
y fault,negative
Ouch!! Burnt my arm,negative
OUCH! my earphones just shocked me,negative
Downtown was fun tonight  The walk back to the car was rediculous lol,neutral
looked amazing as usual,positive
Off work,neutral
"Isss boredddd, gotta be up in the morningg",neutral
Have a great summe,positive
love.,positive
thanx,positive
cute..,positive
"Yeah, I agree. it does.  BTW, check out !linuxoutlaws. ;)",neutral
"Who starts a briefing at 7:30 a.m.? People on the East Coast, that's who.",neutral
stupid,negative
ll. I miss Tunnocks pi,negative
I missed the  announcement   Something about being flow out for a concert? Can anyone fill me in?,neutral
Back from brunch. Hopefully I lured two more friends here.,neutral
good morning!,positive
proud,positive
Equations and graphs,neutral
i just dyed my hair,neutral
Haha same as miine,neutral
Goodnight,neutral
Good,positive
Notion video deleted.,neutral
l love,positive
Beauty.  Going out now!,neutral
"Not feeling too good at ALL,",negative
I hope you feel better soon,positive
Playing see you again-miley cyrus in the shop,neutral
wants this summer to actually have some sun in it,neutral
I'm exhausted,negative
Wrapped up some html/java work now spending the night dabbling in some flash intros,neutral
Britain's Got Talent? Such a cute little girl. Feel so sorry for her!   Hope Simon finds the time!,neutral
love you tooooo,positive
_Grenade The link 404'd.,neutral
thanks,positive
"Yeah, I went to bed at 4 and I had to be up at 6. :[",negative
"Unfortunately your fix didn't work..   Oh well, I'm lovin' me some PeopleBrowsr anyways!",neutral
Poor,negative
"talk to their creators yesterday no date for public release, just developers",neutral
-sorry,negative
schade  #tv_addict,neutral
Thank u,positive
How weird is she? Remarkably not so much anymore.,negative
Its been down,negative
"Heading to bed. I think I'll read for a bit, propped up on fluffy pillows.",neutral
day. i'm afraid about the maths,negative
I'm not too bad. Just trying to get by so I can live the dream AND rule the world.   Saving up for a super hero costume.,neutral
i am talkin on da phone and typin at da same time,neutral
I LOOK forward,positive
active!,positive
Ahhhhh  Well at least I'm up to!,neutral
Im moving to canada,neutral
suuuuck!,negative
God bless,positive
Sad to say.,negative
"Oh, I'm jealous (how surprising)",neutral
"Not addicted, just sociable.",neutral
ugly.,negative
awful.,negative
1 pm...,neutral
@ it hurts me that my sister has so much potential and she isnt using any of it  what a waste of God-given talent.,neutral
sad th,negative
Will be your DJ for a little while! Tune in if you want  www.soompiradio.com,neutral
"Omnomnom    JUST came online to 69 unread emails, as well as my backlog from yesterday  http://tinyurl.com/lxjd",neutral
sucks,negative
love,positive
Thanks for making me laugh,positive
Aww man I left all my laffy taffy's at work,neutral
tom is not with u!  hahahahahahhah he's with my bff,neutral
"is back...been feeling ill and extremely busy all week. happy mother's day, to all you mama's out there",neutral
whyd u feel awful after last night?,negative
My throat is on fire,neutral
love,positive
"Please give a shout out to my boyfriend Ron Griffin at 10pm show in Denver. He's in the nosebleeds, so really SHOUT out",neutral
its the wine!!,neutral
Dont like this part of the job,negative
crappy karaoke game. I miss the fighting,negative
_da_**** ï¿½ cant im not @ my sister house no ï¿½-net tonite,negative
Happy mother's day ev,positive
Assembling/ figuring out this new alarm daddy gave me - SOOO loud  I think I blew out my ear drum,neutral
love,positive
fun!,positive
Left &quot;Up&quot; due to out-of-focus projection.   Hopefully my complaints to theater management will get it fixed for everyone else st,neutral
i think i ordered a few days after you. Maybe you got something that was on backorder?,neutral
i was at the outlets too,neutral
Just Finished My English Final...Just One Step Closer To The End.,neutral
".There is another one which takes the piss of arabs,",negative
you own a didgeridoo?!?!,neutral
I have now realized I am not cool enough to ever get a shout out from   (this player will not be playing on! hahahah),neutral
it's like 20 bucks for 10 shots  what kind of camera do you have?,neutral
i was studying computing this year...bring as feck!! changing to plant science  next year,neutral
Good birthday/ christmas/ I just want to buy you something gift!,positive
soo long.,negative
google away,neutral
doesnt have a hangover  and is getting ready for a good ol' english fry up,neutral
hurts,negative
"AND, We have your fabulous interracial ****!  WOOT!",positive
"Odd though, I thought a couple of the others I'd done were better",neutral
AWWW they are so sweet. I am so lucky to have my kids.,positive
thanks,positive
Yummy.,positive
I know exactly what you mean. My treats are more 'awhile' than 'once in',neutral
T-bone's gone to sleep... Think we're gonna join him,neutral
legend! I,positive
doesn't hurt anymore,positive
****,negative
On my flight headed 2 denver...see yall in a min,neutral
wrong size,negative
i wish you were in my class last year,positive
goodluck,positive
THiNKiNG 0f HiM  &lt;,neutral
oh my... now im offended.,negative
awesome,positive
Im still in my my pjs  but I haveto get dressed cuz Im going to see Dancing on Ice live,neutral
beautiful lady,positive
R.I.P little bird that flew into my window snapping his neck,negative
i'm gonna miss eddy,negative
great,positive
Thanks lady!!,positive
yay!,positive
what I've been waiting for,positive
"cALL mE wiErD, bUt I jUs LuV rAiNy DaYs! MaKeS mE feeL sO waRm &amp; cOzY iNsIdE",positive
absolutely gutted that i'm not going to badu tonight.  you guys have fun...! just got home and need to head downtown now. gd this heat!,negative
frustrated,negative
bad,neutral
fun tweets,positive
no one to go see Tiesto with,neutral
SOO FUN!!  happy bday chrissy,positive
Gorgeous,positive
bored,negative
.HAPPY MOTHERS DAY,positive
i wish the birthday massacre would come to australia,positive
Apple has done some impressive things for my almost 2 year old macbook,positive
R U&quot; ...I'm,positive
play time,positive
In the university with hungry!!,neutral
watching crimson tide and eating apple sauce.,neutral
maybe he could drill a hole in me?  LOL    OH SNAP!  (sorry couldn't resi,neutral
I is goin to bed now,neutral
that's really quite nice,positive
Going to learn the hoedown throwdown today.,neutral
I only have $4.38 in my account,negative
forgot,negative
wants Friday to come quick! I want my beauty sleep and shopping...,neutral
is trying to make this sunday last 48hours,neutral
haha  goodnight,positive
weird,negative
loveliness! (wondering if I spelt colossal right...),positive
I hear tonight is the last jleno show,neutral
ACSM. it's unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral
"im in pain, ****",negative
thanks for another great day!,positive
"Thought you should mention that you don't need to enable Growl in Tweetie to make your plugin work, and to avoid duped notifications",neutral
That was quite hard to watch,negative
Just got back from working out. I'm feeling pretty good.,positive
crawling up my wrist already  .,negative
disgusted,negative
because you saved the frog. I thought I replied to that so it would make sense. so how does twitter work?  gehts abi gut?,neutral
I don't know! She never answered me,neutral
o stop making fun of me!,negative
"I know, but considering I've bought a lot of new yarn recently, I think it's necessary this time.",neutral
"lemme guess - you ran 5 miles at the gym, and are waking your kids up, and then going to the beach and / or recording studio?",neutral
is a failure,negative
has a sore throat,negative
() oh snap,neutral
I had fun this summer,positive
Not a good start,negative
"Tomorrowland central hasn't gotten confirmation that I'm signed off on Star Tours, so just waiting to see if they can give me a shift.",neutral
e happy,positive
also i hit my chin on something when i fell down and it hurts  ugh... work is gonna suck,negative
hahaha my uncle does that coz my aunty is a **** who left her kids,neutral
is currently watching supernatural whilst waiting for skins to come on,neutral
haha i wish,positive
fun times.,positive
*pokes and runs away*,negative
good.,positive
Check out my latest FB post.  (Things I want to happen). I don't think you can miss it.,neutral
Open office &quot;writer&quot;,negative
oh really? why HELLO there,neutral
